Year,Month,PASSENGERS
2018,3,"66,644,135"
2018,4,"64,557,780"
2018,5,"67,846,119"
2018,6,"70,279,158"
2018,7,"72,540,389"
2018,8,"70,338,563"
2018,9,"60,468,575"
2018,10,"67,082,086"
2018,11,"64,660,022"
2018,12,"63,646,582"
2019,1,"58,034,262"
2019,2,"55,679,481"
2019,3,"70,234,129"
2019,4,"66,938,654"
2019,5,"71,364,145"
2019,6,"72,790,418"
2019,7,"75,281,916"
2019,8,"72,729,199"
2019,9,"63,991,365"
2019,10,"69,936,836"
2019,11,"64,827,417"
2019,12,"69,737,438"
2020,1,"61,638,893"
2020,2,"59,879,630"
2020,3,"34,420,555"
2020,4,"2,879,712"
2020,5,"9,697,683"
2020,6,"16,207,918"
2020,7,"22,922,158"
2020,8,"24,431,822"
2020,9,"23,854,772"
2020,10,"28,027,209"
2020,11,"26,294,514"
2020,12,"27,264,199"
2021,1,"24,305,908"
2021,2,"24,483,505"
2021,3,"39,343,495"
2021,4,"43,798,946"
2021,5,"52,752,164"
2021,6,"60,110,694"
2021,7,"66,741,175"
2021,8,"60,632,081"
2021,9,"53,903,524"
2021,10,"60,548,833"
2021,11,"59,779,609"
2021,12,"59,535,449"
2022,1,"45,814,651"
2022,2,"49,076,378"
2022,3,"64,617,091"
2022,4,"63,520,022"
2022,5,"66,964,228"
2022,6,"67,372,554"
2022,7,"69,432,582"
2022,8,"66,520,499"
2022,9,"63,140,128"
2022,10,"67,936,133"
2022,11,"63,680,517"
2022,12,"62,484,215"
2023,1,"58,284,615"
2023,2,"56,730,177"
2023,3,"69,709,372"
2023,4,"67,572,521"
2023,5,"71,425,053"
2023,6,"72,484,380"
2023,7,"75,379,372"
2023,8,"71,492,352"
2023,9,"66,863,165"
2023,10,"73,046,482"
2023,11,"68,419,202"
2023,12,"67,926,513"
2024,1,"59,808,401"
2024,2,"60,997,482"
2024,3,"73,234,251"
2024,4,"70,588,359"
2024,5,"75,824,969"
2024,6,"77,183,327"
2024,7,"78,798,089"
2024,8,"74,812,352"
2024,9,"68,004,714"
2024,10,"73,066,223"
2024,11,"67,694,564"
2024,12,"72,099,851"
2025,1,"60,375,945"
,,
Note: All numbers are for scheduled services.,,
,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,
